	ANY	DATA_APROVACIO	DESCRIPCIO	NOM_CURT	NOM_OFICIAL	NOM_P	SEXE_P
2	1987.0	29/07/1987	Jaume Bofill i Mates (Olot, 1878 - Barcelona, 1933). Poeta, polític i periodista conegut amb el pseudònim de Guerau de Liost.	Guerau de Liost	Carrer de Guerau de Liost	Jaume	M
3	1940.0	 (Abans de 1940)	Abat Odó (? - 1010). Bisbe de Girona (995) i abat del monestir de Sant Cugat del Vallès des de l'any 986 fins al 1010. Després de la incursió d'al-Mansur, l'any 985, a causa de la qual moriren l'abat Joan i dotze monjos, i es destruí el cenobi i es cremà l'arxiu, reféu el monestir i el patrimoni, i obtingué una confirmació global dels seus béns del rei franc Lotari (986) i del papa Silvestre II (1002). Morí a la batalla de Guadeira, durant l'expedició catalana a Còrdova.	Abat Odó	Carrer de l'Abat Odó	Abat	i
4	1939.0	07/03/1939	Miquel Samsó (Girona, 1430 - ?). Abat de Sant Salvador de Breda (1470 - 1507), diputat eclesiàstic de la Generalitat (nomenat el 22 de juliol de l'any 1470) i president de la Generalitat (1470 - 1473). Després de la mort de Carles de Viana, al setembre de 1461, esclatà la Guerra Civil catalana. S'alineà amb els antijoanistes i l'any 1472 va perdre, per ordre de Joan II, les rendes del monestir que administrava. Joan II va aconseguir entrar a Barcelona el 1472 i obligà els rebels a rendir-li obediència. Després de la signatura de la capitulació de Pedralbes, que posà fi al conflicte armat, l'abat Miquel i el jurista Joan Dusai, que havia estat un dels primers doctrinaris jurídics de la revolució de 1461, s'alinearen al costat del rei atrets per la promesa d'atorgar un perdó general i el respecte de les constitucions i els privilegis que la Generalitat disposava al servei de Catalunya.	Abat Samsó	Carrer de l'Abat Samsó	Miquel	M
6	1931.0	25/09/1931	Sor Sobirana d'Olzet (? - 1336). Primera abadessa del monestir de Pedralbes, electa el 3 de maig de 1327.	Abadessa Olzet	Carrer de l'Abadessa Olzet	Sor	i
8	1950.0	15/11/1950	Abd el-Kader (Guetna, 1808 - Damasc, 1883). Emir d'Algèria. Emprengué la guerra santa contra França (1832 -1847). El 1837 aconseguí que els francesos li reconeguessin Orà i una part de la província d'Alger. El 1843 els francesos ocuparen tot Algèria i hagué de refugiar-se al Marroc. Vençut a la batalla de l'Isly (1844), s'entregà tres anys més tard als francesos i fou empresonat fins al 1852. En sortir de la presó, es traslladà a Bursa i més tard a Damasc (1855), on visqué d'una pensió que li passava l'Estat francès.	Abd el-Kader	Carrer d'Abd el-Kader	Abd	M
9	1922.0	21/06/1922	Abdó Terradas i Pulí (Figueres, 1812 - Medina Sidonia, 1856). Escriptor i polític republicà. Fundà la Societat Patriòtica i començà a difondre un ideari republicà a través d'un fulletó que es convertí en El republicano. Fou alcalde de Figueres el 1842. Es negà a jurar lleialtat a la regència del duc de la Victòria i fou empresonat. S'exilià a Perpinyà i des d'allà envià un famós Pla de la revolució. Tornà a Figueres, però el desterraren a Sigüenza (1844) i tornà a l'exili. Després de la revolució de 1854, fou elegit de nou alcalde de Figueres fins que el capità general Zapatero destituí l'Ajuntament. Anselm Clavé li dedicà l'obra coral La Revolución (1868).	Abdó Terradas	Carrer d'Abdó Terradas	Abdó	i
11	1982.0	26/03/1982	Manuel Ballbé i Prunés (Barcelona, 1920 - 1961) Advocat i jurista. Catedràtic de dret administratiu de les universitats de Múrcia (1945) i de Saragossa (1953). Catedràtic de dret administratiu i ciències econòmiques de la Universitat de Barcelona. Estigué vinculat a moltes institucions de Catalunya i a la Fundació March.	Manuel Ballbé	Carrer de Manuel Ballbé	Manuel	M
18	1942.0	07/07/1942	Francisco Morano Moreno (Madrid, 1876 - Barcelona, 1933). Actor teatral. Formà part de la companyia de María Tubau i actuà al Teatre Principal de Barcelona (1893 - 1894). El 1903 creà una companyia pròpia. Com a empresari i director teatral, realitzà representacions en les principals capitals de l'Estat i de l'Argentina.	Actor Morano	Carrer de l'Actor Morano	Francisco	M
19	1942.0	07/07/1942	María Álvarez Tubau (Madrid, 1854 - 1914). Actriu dramàtica. Obtingué molt d'èxit amb la representació de les obres d'Echegaray, Marquina i Dumas fill. En retirar-se, l'any 1904, exercí de professora d'art dramàtic al Conservatori de Madrid.	Actriu Tubau	Carrer de l'Actriu Tubau	María	F
20	1982.0	28/07/1982	Adolf Florensa i Ferrer (Lleida, 1889 - Barcelona, 1968). Arquitecte catedràtic a l'Escola d'Arquitectura de Barcelona i arquitecte municipal.	Adolf Florensa	Carrer d'Adolf Florensa	Adolf	M
