Noms dels nadons. 2016;;;;
Catalunya;;;;
Font: Idescat, a partir de l'estadística de naixements.;;;;
Nota: el ‰ ha estat calculat sobre el total de nascuts vius a l'any i en el lloc de residència seleccionats.;;;;
Nota: Només es mostren els noms de freqüència igual o superior a 4.;;;;
Institut d'Estadística de Catalunya;;;;
http://www.idescat.cat/nadons/;;;;
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
1;H;MARC;832;12,12
2;D;MARTINA;702;10,23
3;H;ÀLEX/ÁLEX;656;9,56
4;D;JÚLIA/JULIA;649;9,46
5;D;LAIA;582;8,48
6;D;LUCÍA;573;8,35
7;D;MARIA/MARÍA;566;8,25
8;H;JAN;562;8,19
9;H;MARTÍ;557;8,12
10;H;HUGO;553;8,06
11;H;BIEL;551;8,03
12;D;EMMA;550;8,01
13;H;ERIC/ÈRIC/ÉRIC;546;7,96
14;D;NOA;544;7,93
14;H;POL;544;7,93
16;H;PAU;521;7,59
16;D;PAULA;521;7,59
18;H;NIL;500;7,29
19;D;ONA;475;6,92
20;D;AINA;474;6,91
21;D;CARLA;467;6,8
22;H;LEO;435;6,34
23;H;LUCAS;433;6,31
23;D;SOFÍA/SOFIA;433;6,31
25;D;ARLET;422;6,15
26;H;ALEIX;415;6,05
27;D;ABRIL;397;5,78
28;H;ARNAU;391;5,7
29;D;SARA;379;5,52
30;D;ALBA;361;5,26
31;D;CLÀUDIA/CLAUDIA;354;5,16
32;D;MIA;346;5,04
33;H;DANIEL;336;4,9
34;D;DANIELA;326;4,75
35;D;VALÈRIA/VALERIA;323;4,71
36;H;ADAM;304;4,43
37;D;CHLOE/CHLÓE;296;4,31
38;H;ENZO;295;4,3
39;H;BRUNO;290;4,23
39;H;GERARD;290;4,23
41;H;DAVID;281;4,09
42;H;ADRIÀ;276;4,02
43;D;JANA;272;3,96
44;H;ROC;269;3,92
45;H;JORDI;268;3,9
46;D;VALENTINA;260;3,79
47;H;MAX;254;3,7
48;D;ARIADNA;253;3,69
49;H;MOHAMED;241;3,51
50;D;NORA;240;3,5
51;H;IAN;236;3,44
52;H;DYLAN;235;3,42
53;H;ROGER;234;3,41
54;H;JOEL;226;3,29
55;D;GALA;218;3,18
56;D;BERTA;215;3,13
57;H;IZAN;210;3,06
58;H;JULEN;207;3,02
59;D;LIA/LÍA;205;2,99
60;H;MARTÍN;204;2,97
61;H;ADRIÁN;202;2,94
61;H;JOAN;202;2,94
63;H;MARIO;200;2,91
64;D;IVET;199;2,9
65;H;GAEL;198;2,88
66;D;ALMA;197;2,87
67;H;LLUC;194;2,83
68;H;MATEO;191;2,78
69;H;ARAN/ARÁN;189;2,75
70;H;GUILLEM;186;2,71
70;H;PABLO;186;2,71
72;H;VÍCTOR;183;2,67
